
	10+K, 3 : 2-1,3,0,0,0	10+Q, 3 : 6-0,0,0,2,3			10+9, 3 : 2-0,3,0,0,0	10+8, 3 : 1-0,0,2,0,3	10+7, 3 : 11-3,0,0,0,0		10+5, 3 : 11-2,0,1,0,0	10+4, 3 : 14-0,0,0,0,0		10+2, 3 : 6-0,0,3,2,0
10+A, 4 : 23-3,0,0,0,4	10+K, 4 : 49-0,0,0,2,0	10+Q, 4 : 10-0,3,0,0,0	10+J, 4 : 13-0,0,3,1,0		10+9, 4 : 1-0,0,4,0,0	10+8, 4 : 40-0,3,0,0,4	10+7, 4 : 7-2,0,0,0,3	10+6, 4 : 23-3,0,3,0,4	10+5, 4 : 1-0,0,0,0,1	10+4, 4 : 9-0,0,3,4,0	10+3, 4 : 40-0,0,2,0,4	10+2, 4 : 5-0,0,3,0,4
10+A, 5 : 11-5,0,0,0,4	10+K, 5 : 1-2,0,5,0,0	10+Q, 5 : 2-0,0,0,0,4	10+J, 5 : 19-0,2,4,0,0		10+9, 5 : 41-3,0,5,0,0	10+8, 5 : 51-0,0,0,3,5	10+7, 5 : 12-0,5,4,0,0	10+6, 5 : 19-0,2,0,0,0	10+5, 5 : 3-5,0,0,0,3	10+4, 5 : 49-0,0,2,0,3	10+3, 5 : 7-1,0,0,4,0	10+2, 5 : 1-0,3,0,0,0
10+A, 6 : 20-0,5,0,0,6	10+K, 6 : 31-0,0,1,0,0	10+Q, 6 : 20-0,4,0,0,1	10+J, 6 : 20-0,6,0,0,5		10+9, 6 : 51-0,4,0,0,5	10+8, 6 : 38-0,3,0,0,6	10+7, 6 : 31-0,6,3,0,0	10+6, 6 : 15-0,5,6,0,5	10+5, 6 : 14-4,0,1,0,0	10+4, 6 : 14-0,0,0,0,0	10+3, 6 : 20-0,0,0,0,0	10+2, 6 : 3-0,6,0,5,0
10+A, 7 : 33-0,0,4,0,7	10+K, 7 : 34-0,3,0,7,0	10+Q, 7 : 2-0,7,6,0,0	10+J, 7 : 34-0,7,0,6,0		10+9, 7 : 22-4,0,7,0,0	10+8, 7 : 42-0,0,5,6,0	10+7, 7 : 2-0,7,0,0,0	10+6, 7 : 51-0,0,4,6,0	10+5, 7 : 41-3,0,0,0,1	10+4, 7 : 47-0,0,7,0,6	10+3, 7 : 34-0,0,2,6,0	10+2, 7 : 33-0,4,5,0,0
10+A, 8 : 11-0,7,0,8,0	10+K, 8 : 29-0,6,0,0,0	10+Q, 8 : 37-0,0,0,0,5	10+J, 8 : 1-0,0,0,0,0		10+9, 8 : 20-0,0,0,0,8	10+8, 8 : 37-0,2,0,0,0	10+7, 8 : 29-0,8,0,0,0	10+6, 8 : 2-7,0,0,0,0	10+5, 8 : 38-6,0,0,0,0	10+4, 8 : 29-8,0,8,0,0	10+3, 8 : 10-7,0,6,0,0	10+2, 8 : 28-0,0,0,8,0
10+A, 9 : 42-0,0,0,0,0	10+K, 9 : 17-0,0,0,0,9	10+Q, 9 : 8-0,0,4,9,0	10+J, 9 : 24-0,8,0,9,0		10+9, 9 : 0-0,8,9,0,0	10+8, 9 : 50-0,9,0,0,9	10+7, 9 : 1-8,0,7,0,0	10+6, 9 : 33-0,0,7,0,0	10+5, 9 : 34-9,0,0,0,0	10+4, 9 : 27-0,8,0,7,0	10+3, 9 : 33-0,6,0,0,0	10+2, 9 : 7-0,9,0,9,0
10+A, 10 : 21-0,0,0,0,8	10+K, 10 : 23-0,10,0,0,6	10+Q, 10 : 34-0,0,0,0,4	10+J, 10 : 14-0,9,0,0,7		10+9, 10 : 16-0,0,8,0,0	10+8, 10 : 49-0,0,9,0,0	10+7, 10 : 6-10,0,10,0,0	10+6, 10 : 28-10,0,0,10,0	10+5, 10 : 50-10,0,9,0,6	10+4, 10 : 41-0,0,8,0,9	10+3, 10 : 38-0,0,10,0,6	10+2, 10 : 31-0,10,0,0,7

9+A, 3 : 25-0,0,0,2,0	9+K, 3 : 51-3,0,0,0,0	9+Q, 3 : 21-1,3,0,0,0	9+J, 3 : 21-0,3,0,0,0	9+10, 3 : 2-0,3,0,0,0		9+8, 3 : 0-3,2,1,0,2		9+6, 3 : 27-1,0,0,0,0	9+5, 3 : 2-0,0,2,0,3	9+4, 3 : 24-3,2,0,0,2		9+2, 3 : 4-1,0,3,0,0
9+A, 4 : 20-0,0,3,0,0	9+K, 4 : 47-0,0,2,0,3	9+Q, 4 : 24-0,2,0,0,4	9+J, 4 : 16-0,0,0,4,0	9+10, 4 : 1-0,0,4,0,0		9+8, 4 : 45-2,0,0,2,4	9+7, 4 : 20-3,0,0,0,1	9+6, 4 : 24-0,0,0,3,2	9+5, 4 : 2-3,0,0,0,0	9+4, 4 : 16-0,0,0,1,0	9+3, 4 : 46-0,0,3,2,0	9+2, 4 : 1-0,0,4,3,0
9+A, 5 : 31-0,4,0,0,5	9+K, 5 : 33-3,0,0,0,4	9+Q, 5 : 2-3,0,0,0,5	9+J, 5 : 8-5,0,5,0,0	9+10, 5 : 41-3,0,5,0,0		9+8, 5 : 0-0,2,4,0,0	9+7, 5 : 3-0,5,2,0,0	9+6, 5 : 13-1,0,0,5,5	9+5, 5 : 3-2,0,0,0,0	9+4, 5 : 4-1,0,5,0,0	9+3, 5 : 23-0,4,3,0,0	9+2, 5 : 11-0,0,0,2,0
9+A, 6 : 10-4,0,0,6,0	9+K, 6 : 25-3,5,0,0,0	9+Q, 6 : 6-0,2,0,0,0	9+J, 6 : 18-0,4,0,0,6	9+10, 6 : 51-0,4,0,0,5		9+8, 6 : 1-0,6,0,0,3	9+7, 6 : 51-0,0,4,0,5	9+6, 6 : 10-4,0,0,0,5	9+5, 6 : 6-6,0,0,4,0	9+4, 6 : 42-0,0,3,0,0	9+3, 6 : 26-0,4,0,0,6	9+2, 6 : 50-6,0,0,3,0
9+A, 7 : 7-0,0,0,0,5	9+K, 7 : 29-0,0,0,0,6	9+Q, 7 : 29-0,0,2,0,0	9+J, 7 : 14-0,0,7,6,0	9+10, 7 : 22-4,0,7,0,0		9+8, 7 : 45-2,0,0,0,0	9+7, 7 : 1-0,0,7,6,0	9+6, 7 : 7-0,0,0,6,0	9+5, 7 : 44-0,6,0,1,0	9+4, 7 : 22-0,0,2,0,0	9+3, 7 : 29-0,0,0,0,3	9+2, 7 : 45-0,0,0,0,0
9+A, 8 : 19-8,0,0,0,6	9+K, 8 : 3-0,0,8,8,0	9+Q, 8 : 4-0,0,0,0,8	9+J, 8 : 33-0,0,0,8,0	9+10, 8 : 20-0,0,0,0,8		9+8, 8 : 48-0,3,0,0,0	9+7, 8 : 6-0,8,0,6,0	9+6, 8 : 26-0,0,0,7,0	9+5, 8 : 4-8,6,0,0,0	9+4, 8 : 48-6,0,0,0,0	9+3, 8 : 20-0,0,0,4,0	9+2, 8 : 12-8,0,0,0,0
9+A, 9 : 21-9,9,0,0,0	9+K, 9 : 18-9,0,0,9,0	9+Q, 9 : 21-0,0,6,0,0	9+J, 9 : 48-0,0,9,0,0	9+10, 9 : 0-0,8,9,0,0		9+8, 9 : 20-8,0,0,0,9	9+7, 9 : 30-0,7,0,0,0	9+6, 9 : 21-0,0,3,0,0	9+5, 9 : 0-5,0,0,0,0	9+4, 9 : 27-0,0,0,3,0	9+3, 9 : 39-0,0,0,0,0	9+2, 9 : 43-0,0,9,9,0
9+A, 10 : 30-0,10,7,0,0	9+K, 10 : 3-10,0,5,0,0	9+Q, 10 : 26-0,9,0,0,8	9+J, 10 : 26-0,5,0,0,0	9+10, 10 : 16-0,0,8,0,0		9+8, 10 : 16-0,0,10,0,0	9+7, 10 : 17-10,0,0,0,0	9+6, 10 : 18-0,10,0,0,8	9+5, 10 : 7-10,0,1,0,0	9+4, 10 : 18-0,0,0,6,8	9+3, 10 : 40-0,0,0,0,8	9+2, 10 : 6-0,3,0,0,10

	8+K, 3 : 47-0,0,0,0,3		8+J, 3 : 40-1,3,0,0,3	8+10, 3 : 1-0,0,2,0,3	8+9, 3 : 0-3,2,1,0,2				8+5, 3 : 1-0,0,0,0,0		8+3, 3 : 44-0,0,0,0,3	8+2, 3 : 3-1,1,0,3,3
8+A, 4 : 39-1,0,0,0,0	8+K, 4 : 39-0,0,0,0,0	8+Q, 4 : 44-1,0,0,3,0	8+J, 4 : 39-2,0,2,0,0	8+10, 4 : 40-0,3,0,0,4	8+9, 4 : 45-2,0,0,2,4		8+7, 4 : 6-1,4,0,4,3	8+6, 4 : 35-0,3,0,0,4	8+5, 4 : 5-2,0,4,0,0	8+4, 4 : 37-1,0,2,4,3	8+3, 4 : 40-0,0,2,0,3	8+2, 4 : 48-0,0,3,0,0
8+A, 5 : 31-4,0,5,0,0	8+K, 5 : 33-0,0,4,0,5	8+Q, 5 : 2-0,0,0,0,3	8+J, 5 : 31-0,0,5,3,0	8+10, 5 : 51-0,0,0,3,5	8+9, 5 : 0-0,2,4,0,0		8+7, 5 : 41-0,0,0,3,5	8+6, 5 : 37-0,0,0,5,2	8+5, 5 : 45-0,5,4,0,0	8+4, 5 : 34-4,0,3,0,0	8+3, 5 : 36-0,5,2,0,4	8+2, 5 : 1-5,0,0,0,4
8+A, 6 : 29-0,5,0,0,0	8+K, 6 : 35-0,0,0,0,4	8+Q, 6 : 0-6,0,0,6,0	8+J, 6 : 29-4,0,0,0,0	8+10, 6 : 38-0,3,0,0,6	8+9, 6 : 1-0,6,0,0,3		8+7, 6 : 17-0,2,0,2,0	8+6, 6 : 29-5,6,0,0,0	8+5, 6 : 1-0,0,5,0,0	8+4, 6 : 41-0,6,0,0,6	8+3, 6 : 1-0,1,0,0,6	8+2, 6 : 41-0,5,0,0,0
8+A, 7 : 12-0,6,5,0,0	8+K, 7 : 42-1,0,0,0,0	8+Q, 7 : 49-0,7,0,0,5	8+J, 7 : 12-0,6,0,7,0	8+10, 7 : 42-0,0,5,6,0	8+9, 7 : 45-2,0,0,0,0		8+7, 7 : 40-0,0,2,6,0	8+6, 7 : 21-0,6,0,5,0	8+5, 7 : 42-0,0,6,0,0	8+4, 7 : 19-6,0,5,0,0	8+3, 7 : 49-0,4,0,0,0	8+2, 7 : 45-0,0,0,0,4
8+A, 8 : 19-6,0,0,0,0	8+K, 8 : 39-0,0,0,0,6	8+Q, 8 : 24-6,0,7,0,0	8+J, 8 : 9-0,0,0,0,6	8+10, 8 : 37-0,2,0,0,0	8+9, 8 : 48-0,3,0,0,0		8+7, 8 : 35-0,4,0,0,0	8+6, 8 : 18-7,0,0,0,8	8+5, 8 : 38-8,0,0,0,7	8+4, 8 : 40-7,0,0,0,8	8+3, 8 : 16-8,0,0,0,0	8+2, 8 : 36-0,0,4,0,8
8+A, 9 : 47-0,3,0,0,0	8+K, 9 : 50-0,4,0,0,0	8+Q, 9 : 29-0,0,0,8,0	8+J, 9 : 32-0,8,0,0,0	8+10, 9 : 50-0,9,0,0,9	8+9, 9 : 20-8,0,0,0,9		8+7, 9 : 29-8,0,0,0,9	8+6, 9 : 50-0,0,0,0,5	8+5, 9 : 20-7,0,0,0,0	8+4, 9 : 20-0,0,0,0,0	8+3, 9 : 41-0,0,0,0,7	8+2, 9 : 32-0,6,0,0,3
